web-scraper-order,web-scraper-start-url,player-link,player-link-href,player-stats-link,player-stats-link-href,player-stats
"1613237162-1080","https://www.atptour.com/en/rankings/singles","Pablo Cuevas","https://www.atptour.com/en/players/pablo-cuevas/c882/overview","Player Stats","https://www.atptour.com/en/players/pablo-cuevas/c882/player-stats","Service Games Played"
"1613237107-615","https://www.atptour.com/en/rankings/singles","Pierre-Hugues Herbert","https://www.atptour.com/en/players/pierre-hugues-herbert/h996/overview","Player Stats","https://www.atptour.com/en/players/pierre-hugues-herbert/h996/player-stats","59%"
"1613237280-2060","https://www.atptour.com/en/rankings/singles","Albert Ramos-Vinolas","https://www.atptour.com/en/players/albert-ramos-vinolas/r772/overview","Player Stats","https://www.atptour.com/en/players/albert-ramos-vinolas/r772/player-stats","1st Serve Points Won"
"1613237229-1639","https://www.atptour.com/en/rankings/singles","Aljaz Bedene","https://www.atptour.com/en/players/aljaz-bedene/bh09/overview","Player Stats","https://www.atptour.com/en/players/aljaz-bedene/bh09/player-stats","728"
"1613237144-916","https://www.atptour.com/en/rankings/singles","Lucas Pouille","https://www.atptour.com/en/players/lucas-pouille/pf39/overview","Player Stats","https://www.atptour.com/en/players/lucas-pouille/pf39/player-stats","Double Faults"
"1613237262-1904","https://www.atptour.com/en/rankings/singles","Kyle Edmund","https://www.atptour.com/en/players/kyle-edmund/e831/overview","Player Stats","https://www.atptour.com/en/players/kyle-edmund/e831/player-stats","Double Faults"
"1613237033-7","https://www.atptour.com/en/rankings/singles","Philipp Kohlschreiber","https://www.atptour.com/en/players/philipp-kohlschreiber/k435/overview","Player Stats","https://www.atptour.com/en/players/philipp-kohlschreiber/k435/player-stats","60%"
"1613237193-1343","https://www.atptour.com/en/rankings/singles","Feliciano Lopez","https://www.atptour.com/en/players/feliciano-lopez/l397/overview","Player Stats","https://www.atptour.com/en/players/feliciano-lopez/l397/player-stats","5,690"
"1613237475-3700","https://www.atptour.com/en/rankings/singles","Dominic Thiem","https://www.atptour.com/en/players/dominic-thiem/tb69/overview","Player Stats","https://www.atptour.com/en/players/dominic-thiem/tb69/player-stats","Break Points Saved"
"1613237312-2326","https://www.atptour.com/en/rankings/singles","John Millman","https://www.atptour.com/en/players/john-millman/mh30/overview","Player Stats","https://www.atptour.com/en/players/john-millman/mh30/player-stats","1st Serve Points Won"
"1613237203-1431","https://www.atptour.com/en/rankings/singles","Vasek Pospisil","https://www.atptour.com/en/players/vasek-pospisil/pd07/overview","Player Stats","https://www.atptour.com/en/players/vasek-pospisil/pd07/player-stats","2nd Serve Return Points Won"
"1613237083-426","https://www.atptour.com/en/rankings/singles","Norbert Gombos","https://www.atptour.com/en/players/norbert-gombos/gb93/overview","Player Stats","https://www.atptour.com/en/players/norbert-gombos/gb93/player-stats","1st Serve Points Won"
"1613237312-2336","https://www.atptour.com/en/rankings/singles","John Millman","https://www.atptour.com/en/players/john-millman/mh30/overview","Player Stats","https://www.atptour.com/en/players/john-millman/mh30/player-stats","Service Games Won"
"1613237207-1477","https://www.atptour.com/en/rankings/singles","Jo-Wilfried Tsonga","https://www.atptour.com/en/players/jo-wilfried-tsonga/t786/overview","Player Stats","https://www.atptour.com/en/players/jo-wilfried-tsonga/t786/player-stats","Return Games Won"
"1613237175-1185","https://www.atptour.com/en/rankings/singles","Cameron Norrie","https://www.atptour.com/en/players/cameron-norrie/n771/overview","Player Stats","https://www.atptour.com/en/players/cameron-norrie/n771/player-stats","65%"
"1613237422-3268","https://www.atptour.com/en/rankings/singles","David Goffin","https://www.atptour.com/en/players/david-goffin/gb88/overview","Player Stats","https://www.atptour.com/en/players/david-goffin/gb88/player-stats","51%"
"1613237457-3548","https://www.atptour.com/en/rankings/singles","Alexander Zverev","https://www.atptour.com/en/players/alexander-zverev/z355/overview","Player Stats","https://www.atptour.com/en/players/alexander-zverev/z355/player-stats","Break Points Saved"
"1613237409-3121","https://www.atptour.com/en/rankings/singles","Stan Wawrinka","https://www.atptour.com/en/players/stan-wawrinka/w367/overview","Player Stats","https://www.atptour.com/en/players/stan-wawrinka/w367/player-stats","2,110"
"1613237339-2565","https://www.atptour.com/en/rankings/singles","Filip Krajinovic","https://www.atptour.com/en/players/filip-krajinovic/kb05/overview","Player Stats","https://www.atptour.com/en/players/filip-krajinovic/kb05/player-stats","75%"
"1613237359-2714","https://www.atptour.com/en/rankings/singles","Benoit Paire","https://www.atptour.com/en/players/benoit-paire/pd31/overview","Player Stats","https://www.atptour.com/en/players/benoit-paire/pd31/player-stats","Service Games Played"
"1613237257-1871","https://www.atptour.com/en/rankings/singles","Tennys Sandgren","https://www.atptour.com/en/players/tennys-sandgren/sl08/overview","Player Stats","https://www.atptour.com/en/players/tennys-sandgren/sl08/player-stats","74%"
"1613237271-1992","https://www.atptour.com/en/rankings/singles","Richard Gasquet","https://www.atptour.com/en/players/richard-gasquet/g628/overview","Player Stats","https://www.atptour.com/en/players/richard-gasquet/g628/player-stats","Service Games Played"
"1613237382-2923","https://www.atptour.com/en/rankings/singles","John Isner","https://www.atptour.com/en/players/john-isner/i186/overview","Player Stats","https://www.atptour.com/en/players/john-isner/i186/player-stats","Return Points Won"
"1613237395-3011","https://www.atptour.com/en/rankings/singles","Grigor Dimitrov","https://www.atptour.com/en/players/grigor-dimitrov/d875/overview","Player Stats","https://www.atptour.com/en/players/grigor-dimitrov/d875/player-stats","74%"
"1613237350-2655","https://www.atptour.com/en/rankings/singles","Taylor Fritz","https://www.atptour.com/en/players/taylor-fritz/fb98/overview","Player Stats","https://www.atptour.com/en/players/taylor-fritz/fb98/player-stats","Return Games Won"
"1613237359-2735","https://www.atptour.com/en/rankings/singles","Benoit Paire","https://www.atptour.com/en/players/benoit-paire/pd31/overview","Player Stats","https://www.atptour.com/en/players/benoit-paire/pd31/player-stats","Total Points Won"
"1613237453-3519","https://www.atptour.com/en/rankings/singles","Andrey Rublev","https://www.atptour.com/en/players/andrey-rublev/re44/overview","Player Stats","https://www.atptour.com/en/players/andrey-rublev/re44/player-stats","1st Serve Return Points Won"
"1613237166-1117","https://www.atptour.com/en/rankings/singles","Corentin Moutet","https://www.atptour.com/en/players/corentin-moutet/mw02/overview","Player Stats","https://www.atptour.com/en/players/corentin-moutet/mw02/player-stats","55%"
"1613237248-1822","https://www.atptour.com/en/rankings/singles","Tommy Paul","https://www.atptour.com/en/players/tommy-paul/pl56/overview","Player Stats","https://www.atptour.com/en/players/tommy-paul/pl56/player-stats","37%"
"1613237303-2251","https://www.atptour.com/en/rankings/singles","Miomir Kecmanovic","https://www.atptour.com/en/players/miomir-kecmanovic/ki95/overview","Player Stats","https://www.atptour.com/en/players/miomir-kecmanovic/ki95/player-stats","71%"
"1613237466-3630","https://www.atptour.com/en/rankings/singles","Roger Federer","https://www.atptour.com/en/players/roger-federer/f324/overview","Player Stats","https://www.atptour.com/en/players/roger-federer/f324/player-stats","Total Service Points Won"
"1613237431-3340","https://www.atptour.com/en/rankings/singles","Roberto Bautista Agut","https://www.atptour.com/en/players/roberto-bautista-agut/bd06/overview","Player Stats","https://www.atptour.com/en/players/roberto-bautista-agut/bd06/player-stats","27%"
"1613237321-2415","https://www.atptour.com/en/rankings/singles","Jan-Lennard Struff","https://www.atptour.com/en/players/jan-lennard-struff/sl28/overview","Player Stats","https://www.atptour.com/en/players/jan-lennard-struff/sl28/player-stats","65%"
"1613237475-3717","https://www.atptour.com/en/rankings/singles","Dominic Thiem","https://www.atptour.com/en/players/dominic-thiem/tb69/overview","Player Stats","https://www.atptour.com/en/players/dominic-thiem/tb69/player-stats","Return Games Played"
"1613237074-368","https://www.atptour.com/en/rankings/singles","Lloyd Harris","https://www.atptour.com/en/players/lloyd-harris/hg86/overview","Player Stats","https://www.atptour.com/en/players/lloyd-harris/hg86/player-stats","46%"
